title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score
All-inorganic cesium lead iodide perovskite solar cells with stabilized efficiency beyond 15%,2018,10.1038/s41467-018-06915-6,https://openalex.org/W2898318364,486,True,https://www.nature.com/articles/s41467-018-06915-6.pdf,https://doi.org/10.1038/s41467-018-06915-6,Nature Communications,10.1038s41467-018-06915-6,all inorganic cesium lead iodide perovskite solar cells with stabilized efficiency beyond 15,30.94132061541295,0.3,0.0,0.0,0.7480712958993644,0.3338263241669572,doi_key,doi_key,8.976855550792372,2.6706105933356574,11.64746614412803,42.88878675954098
Degradation mechanism of hybrid tin-based perovskite solar cells and the critical role of tin (IV) iodide,2021,10.1038/s41467-021-22864-z,https://openalex.org/W3160621054,453,True,https://www.nature.com/articles/s41467-021-22864-z.pdf,https://doi.org/10.1038/s41467-021-22864-z,Nature Communications,10.1038s41467-021-22864-z,degradation mechanism of hybrid tin based perovskite solar cells and the critical role of tin iv iodide,30.59048599020674,0.6,0.0,0.0,0.7188608669441144,0.3237937589487177,doi_key,doi_key,8.626330403329373,2.5903500715897416,11.216680474919114,42.407166465125854
Slot-die coating large-area formamidinium-cesium perovskite film for efficient and stable parallel solar module,2021,10.1126/sciadv.abg3749,https://openalex.org/W3159483471,299,True,https://www.science.org/doi/pdf/10.1126/sciadv.abg3749?download=true,https://doi.org/10.1126/sciadv.abg3749,Science Advances,10.1126sciadv.abg3749,slot die coating large area formamidinium cesium perovskite film for efficient and stable parallel solar module,28.518912373281005,0.6,5.0,10.0,0.2443948578453543,0.0431035943993089,doi_key,doi_key,2.9327382941442517,0.3448287551944712,3.277567049338723,42.39647942261973
Inkjet‐Printed Micrometer‐Thick Perovskite Solar Cells with Large Columnar Grains,2019,10.1002/aenm.201903184,https://openalex.org/W2995089958,214,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201903184,https://doi.org/10.1002/aenm.201903184,Advanced Energy Materials,10.1002aenm.201903184,inkjet printed micrometer thick perovskite solar cells with large columnar grains,26.85319014063831,0.4,6.5,13.0,0.1589695415698958,0.0283612936160452,doi_key,doi_key,1.9076344988387495,0.2268903489283616,2.134524847767111,42.38771498840542
A general approach to high-efficiency perovskite solar cells by any antisolvent,2021,10.1038/s41467-021-22049-8,https://openalex.org/W3129036993,417,True,https://www.nature.com/articles/s41467-021-22049-8.pdf,https://doi.org/10.1038/s41467-021-22049-8,Nature Communications,10.1038s41467-021-22049-8,a general approach to high efficiency perovskite solar cells by any antisolvent,30.17740716262378,0.6,0.0,0.0,0.7310862408076881,0.3439271338732445,doi_key,doi_key,8.773034889692259,2.751417070985956,11.524451960678213,42.301859123301995
Conversion of invisible metal-organic frameworks to luminescent perovskite nanocrystals for confidential information encryption and decryption,2017,10.1038/s41467-017-01248-2,https://openalex.org/W2766836967,499,True,https://www.nature.com/articles/s41467-017-01248-2.pdf,https://doi.org/10.1038/s41467-017-01248-2,Nature Communications,10.1038s41467-017-01248-2,conversion of invisible metal organic frameworks to luminescent perovskite nanocrystals for confidential information encryption and decryption,31.073040492110955,0.2,0.0,0.0,0.700529824641328,0.3200119278012762,doi_key,doi_key,8.406357895695935,2.5600954224102095,10.966453318106144,42.2394938102171
Covalent organic frameworks: an ideal platform for designing ordered materials and advanced applications,2020,10.1039/d0cs00620c,https://openalex.org/W3111457036,978,True,https://pubs.rsc.org/en/content/articlepdf/2021/cs/d0cs00620c,https://doi.org/10.1039/d0cs00620c,Chemical Society Reviews,10.1039d0cs00620c,covalent organic frameworks an ideal platform for designing ordered materials and advanced applications,34.432658212652555,0.5,0.0,0.0,0.5343503479799001,0.1113465376781266,doi_key,doi_key,6.412204175758801,0.8907723014250128,7.302976477183814,42.23563468983637
A high-conductivity n-type polymeric ink for printed electronics,2021,10.1038/s41467-021-22528-y,https://openalex.org/W3155455451,241,True,https://www.nature.com/articles/s41467-021-22528-y.pdf,https://doi.org/10.1038/s41467-021-22528-y,Nature Communications,10.1038s41467-021-22528-y,a high conductivity n type polymeric ink for printed electronics,27.444688630783432,0.6,3.5,7.0,0.4739894331389386,0.1710109544698342,doi_key,doi_key,5.687873197667264,1.3680876357586735,7.055960833425937,42.10064946420937
Chiral-perovskite optoelectronics,2020,10.1038/s41578-020-0181-5,https://openalex.org/W3011088795,821,True,https://www.nature.com/articles/s41578-020-0181-5.pdf,https://doi.org/10.1038/s41578-020-0181-5,Nature Reviews Materials,10.1038s41578-020-0181-5,chiral perovskite optoelectronics,33.5587019752809,0.5,0.0,0.0,0.535838377694313,0.184349293094038,doi_key,doi_key,6.430060532331756,1.474794344752304,7.90485487708406,41.96355685236496
Mixed halide perovskites for spectrally stable and high-efficiency blue light-emitting diodes,2021,10.1038/s41467-020-20582-6,https://openalex.org/W3120423813,460,True,https://www.nature.com/articles/s41467-020-20582-6.pdf,https://doi.org/10.1038/s41467-020-20582-6,Nature Communications,10.1038s41467-020-20582-6,mixed halide perovskites for spectrally stable and high efficiency blue light emitting diodes,30.666990214983244,0.6,0.0,0.0,0.6906737767374779,0.2910858629423006,doi_key,doi_key,8.288085320849735,2.328686903538405,10.61677222438814,41.88376243937138
